OrderID,CustomerName,City,Region,Product,Category,Quantity,Price,OrderDate,TotalAmount
57,Hina,Lahore,Punjab,Monitor,Electronics,2,19654,2025-02-11,39308
58,Ayesha,Islamabad,Federal,Keyboard,Accessories,1,2858,2025-04-15,2858
59,Faisal,Islamabad,Federal,Keyboard,Accessories,1,2606,2025-03-16,2606
60,Kamran,Faisalabad,Punjab,Laptop,Electronics,1,76968,2025-05-05,76968
61,Mariam,Lahore,Punjab,Mouse,Accessories,2,1434,2025-04-25,2868
62,Ali,Islamabad,Federal,Headphones,Accessories,1,2709,2025-01-01,2709
63,Ali,Islamabad,Federal,Monitor,Electronics,3,20514,2025-02-05,61542
64,Hina,Lahore,Punjab,Headphones,Accessories,1,4250,2025-05-20,4250
65,Kamran,Multan,Punjab,Printer,Electronics,1,16358,2025-04-04,16358
66,Faisal,Karachi,Sindh,Keyboard,Accessories,1,2737,2025-05-26,2737
67,Ali,Lahore,Punjab,Printer,Electronics,1,19766,2025-06-24,19766
68,Bilal,Lahore,Punjab,Laptop,Electronics,2,76857,2025-03-06,153714
69,Faisal,Multan,Punjab,Keyboard,Accessories,1,2508,2025-03-31,2508
70,Bilal,Karachi,Sindh,Mouse,Accessories,1,1771,2025-04-18,1771
71,Kamran,Karachi,Sindh,Headphones,Accessories,2,4516,2025-01-11,9032
72,Ayesha,Karachi,Sindh,Laptop,Electronics,1,83990,2025-03-24,83990
73,Mariam,Karachi,Sindh,Keyboard,Accessories,1,3332,2025-05-17,3332
74,Mariam,Islamabad,Federal,Keyboard,Accessories,2,2502,2025-04-03,5004
75,Omar,Karachi,Sindh,Printer,Electronics,1,17357,2025-04-14,17357
76,Nida,Faisalabad,Punjab,Keyboard,Accessories,1,2856,2025-03-26,2856
77,Kamran,Multan,Punjab,Printer,Electronics,1,17758,2025-04-27,17758
78,Mariam,Karachi,Sindh,Keyboard,Accessories,1,3498,2025-03-29,3498
79,Zara,Karachi,Sindh,Laptop,Electronics,1,84404,2025-05-11,84404
80,Usman,Islamabad,Federal,Monitor,Electronics,2,19927,2025-01-05,39854
81,Mariam,Multan,Punjab,Printer,Electronics,2,17748,2025-06-08,35496
82,Hina,Lahore,Punjab,Laptop,Electronics,1,75227,2025-04-11,75227
83,Ali,Faisalabad,Punjab,Keyboard,Accessories,2,3389,2025-04-07,6778
84,Faisal,Lahore,Punjab,Monitor,Electronics,2,21209,2025-04-15,42418
85,Nida,Karachi,Sindh,Monitor,Electronics,1,21992,2025-05-30,21992
86,Bilal,Islamabad,Federal,Mouse,Accessories,2,1792,2025-02-15,3584
87,Sara,Karachi,Sindh,Keyboard,Accessories,1,2771,2025-02-17,2771
88,Hina,Lahore,Punjab,Monitor,Electronics,1,21009,2025-02-02,21009
89,Bilal,Multan,Punjab,Headphones,Accessories,1,2412,2025-01-03,2412
90,Hina,Karachi,Sindh,Printer,Electronics,2,24360,2025-05-17,48720
91,Omar,Lahore,Punjab,Monitor,Electronics,1,20584,2025-01-17,20584
92,Zara,Lahore,Punjab,Headphones,Accessories,1,4585,2025-01-30,4585
93,Hina,Lahore,Punjab,Laptop,Electronics,1,80262,2025-05-13,80262
94,Hina,Multan,Punjab,Headphones,Accessories,1,2373,2025-03-27,2373
95,Mariam,Multan,Punjab,Printer,Electronics,1,18920,2025-02-09,18920
96,Faisal,Islamabad,Federal,Monitor,Electronics,1,20794,2025-01-03,20794
97,Faisal,Faisalabad,Punjab,Printer,Electronics,1,15975,2025-02-05,15975
98,Ali,Islamabad,Federal,Mouse,Accessories,1,1761,2025-01-06,1761
99,Zara,Faisalabad,Punjab,Monitor,Electronics,1,19866,2025-01-09,19866
100,Sara,Faisalabad,Punjab,Keyboard,Accessories,2,3015,2025-05-30,6030
101,Omar,Lahore,Punjab,Keyboard,Accessories,1,3489,2025-01-28,3489
102,Omar,Faisalabad,Punjab,Mouse,Accessories,1,1778,2025-03-15,1778
103,Omar,Karachi,Sindh,Mouse,Accessories,2,1349,2025-05-14,2698
104,Omar,Islamabad,Federal,Laptop,Electronics,1,78171,2025-01-06,78171
105,Sara,Faisalabad,Punjab,Headphones,Accessories,1,2125,2025-04-14,2125
106,Ayesha,Lahore,Punjab,Laptop,Electronics,1,76284,2025-06-19,76284
107,Ali,Multan,Punjab,Monitor,Electronics,1,20147,2025-01-01,20147
108,Mariam,Faisalabad,Punjab,Printer,Electronics,1,20828,2025-01-16,20828
109,Nida,Islamabad,Federal,Headphones,Accessories,1,2090,2025-06-22,2090
110,Omar,Karachi,Sindh,Laptop,Electronics,1,83627,2025-06-15,83627
111,Nida,Multan,Punjab,Monitor,Electronics,1,21066,2025-05-10,21066
112,Usman,Islamabad,Federal,Mouse,Accessories,1,1265,2025-02-14,1265
113,Bilal,Lahore,Punjab,Printer,Electronics,2,24345,2025-04-07,48690
114,Nida,Multan,Punjab,Monitor,Electronics,1,18999,2025-06-04,18999
115,Bilal,Lahore,Punjab,Mouse,Accessories,3,1600,2025-05-10,4800
116,Nida,Islamabad,Federal,Laptop,Electronics,1,78834,2025-06-09,78834
117,Sara,Karachi,Sindh,Mouse,Accessories,1,1623,2025-02-01,1623
118,Faisal,Islamabad,Federal,Mouse,Accessories,2,1673,2025-02-28,3346
119,Kamran,Karachi,Sindh,Laptop,Electronics,2,77455,2025-01-01,154910
120,Omar,Multan,Punjab,Monitor,Electronics,1,21172,2025-03-01,21172
